"","Id","Apellido","Nombre","Propio","Padre","Madre","PIngFam","IngFam","Hijos","Exitable","Extravagante","Pesimista","Timido","Sentimental","Dependiente","Responsable","Capaz","Sociable","Servicial","Etico","Conciente","Espiritual","Impulsivo","Desordenado","Temeroso","Vago","Apego","Empatia","Compasivo","VxH"
"1",1,"WAFIB","IVBAG","P","U","P",0.15780129,3327.694337,1,0.592486172,0.660104655,0.01911083,0.480623754,0.208192958,0.448448698,0.715189191,0.967960332,0.48345924,0.204646008,0.286197033,0.19396689,0.199759779,0.886397489,0.29312382,0.911440217,0.509820913,0.943347749,0.699690968,0.719768055,0.706507021
"2",2,"TFLUT","OBEYM","P","U","S",0.41814642,6224.254085,0,0.66332998,0.24229714,0.471660628,0.065292056,0.235596471,0.444252163,0.840436614,0.300129576,0.3976247,0.208175346,0.74276125,0.818907398,0.41764083,0.244247625,0.367736074,0.054234722,0.076588122,0.68177144,0.613223399,0.695287943,0.80113518
"3",3,"FCACU","UREDL","S","S","S",0.900064103,26541.18809,4,0.805862664,0.074784831,0.159341189,0.078381318,0.88579275,0.908837325,0.059781554,0.694443371,0.244605798,0.928968619,0.099116303,0.900221546,0.267378891,0.298552406,0.106619031,0.90835512,0.21830391,0.753458541,0.89352394,0.537843257,0.906939068
"4",4,"XCQTN","LRHOD","P","S","S",0.171807853,18727.20164,0,0.154116648,0.812219175,0.167690152,0.369357954,0.24633936,0.974950489,0.025558836,0.589306916,0.990287017,0.741130427,0.89349127,0.181652239,0.734042826,0.768233567,0.285647945,0.613739852,0.862423729,0.208604318,0.423194339,0.793448774,0.591296153
"5",5,"BHEFK","ILQNP","U","S","P",0.807108373,24114.96247,0,0.284124994,0.066237341,0.094574811,0.191025092,0.46103834,0.837943701,0.624175624,0.078607076,0.60310859,0.834414259,0.959118406,0.262053325,0.632243032,0.628504126,0.257601378,0.04967762,0.622631129,0.962792118,0.419418149,0.463254579,0.605940429
"6",6,"LYKHM","SWPIN","P","S","P",0.96126837,29187.17113,0,0.279403893,0.855955757,0.198344351,0.792738095,0.121918785,0.590946973,0.608538459,0.525406739,0.885444987,0.666407945,0.404480933,0.539573729,0.242657309,0.689983575,0.47282159,0.06370367,0.065510579,0.591823944,0.993824601,0.043879377,0.786910914
"7",7,"EQVKT","TRBGW","U","S","P",0.822564462,16402.80625,0,0.528649389,0.565013255,0.382728449,0.425916356,0.749500737,0.045732367,0.136528422,0.85649869,0.805156755,0.22271151,0.747700405,0.581753603,0.137963626,0.477733795,0.71395605,0.062470775,0.819611637,0.527813074,0.245690073,0.580183841,0.569997943
"8",8,"MCJBH","QIMLJ","U","S","P",0.761643484,43908.80284,0,0.429017463,0.592832912,0.355095462,0.238248948,0.632491669,0.30853242,0.604536336,0.831432011,0.96333647,0.828626702,0.138073617,0.521311708,0.237200151,0.457874628,0.512095002,0.40371403,0.663466112,0.581964415,0.491393624,0.8928134,0.809632115
"9",9,"QPLGV","WRMIY","P","P","P",0.449057904,23527.3493,0,0.238086239,0.808751901,0.119906795,0.459263808,0.108762318,0.384186119,0.256440755,0.152897826,0.473549146,0.794073101,0.425022692,0.791996677,0.124646162,0.314161194,0.58391435,0.458785526,0.363808971,0.882795135,0.559176173,0.095780153,0.600470074
"10",10,"TFBJX","CFKMO","P","P","P",0.586501818,26701.02543,3,0.404127584,0.190199936,0.301326508,0.413593918,0.155681467,0.297070037,0.742057333,0.16399268,0.632177153,0.195694362,0.773310777,0.808630642,0.835393834,0.30857795,0.541542708,0.756434172,0.150916924,0.118524881,0.289371403,0.676621413,0.66893357
"11",11,"IYBAU","PRMQA","P","P","P",0.584895612,26216.10336,0,0.382968038,0.683463574,0.31651863,0.754023518,0.124174234,0.79654226,0.548714168,0.173620771,0.702098662,0.048356701,0.10313561,0.694738423,0.369302862,0.991005515,0.264871532,0.083813161,0.11770341,0.765763387,0.202087185,0.232021999,0.574729474
"12",12,"YQWWN","IVWSH","S","P","P",0.364000587,8490.153393,0,0.256423125,0.170858029,0.418321494,0.416297954,0.820226321,0.595729186,0.157592262,0.181621465,0.651853424,0.381760381,0.006169653,0.857994271,0.576086793,0.90768657,0.369182103,0.302891039,0.726198248,0.80749888,0.261851755,0.131918845,0.726317232
"13",13,"FIQCW","BEKMV","P","S","P",0.059521552,39522.67705,0,0.472348618,0.802805946,0.194967384,0.596033699,0.310379908,0.8220074,0.970993338,0.524680166,0.362419084,0.164089814,0.212929173,0.593495805,0.976706005,0.064500013,0.334296483,0.440898532,0.288656469,0.552164055,0.034535925,0.222077171,0.570660388
"14",14,"WWXSV","UCPKG","S","S","S",0.285712854,23311.81085,0,0.764024369,0.981460985,0.941129969,0.038379861,0.08321296,0.16113598,0.172039876,0.842538026,0.15807296,0.397485854,0.088089097,0.445286965,0.031349381,0.534161461,0.317620829,0.0139376,0.522948641,0.723596987,0.870560827,0.8959378,0.885866947
"15",15,"QYWQQ","WVMSJ","U","S","P",0.767773149,45379.43359,3,0.744567104,0.539831345,0.941146123,0.202777318,0.022778856,0.396722044,0.234168624,0.111412716,0.649823217,0.58969438,0.593655362,0.991096101,0.53589283,0.383300673,0.588371993,0.735639436,0.84259689,0.461163567,0.814926915,0.448402425,0.454948512
"16",16,"WVHVK","YGWRT","P","S","S",0.456138501,7275.737152,0,0.641923811,0.941574232,0.85452376,0.942764647,0.579079185,0.098033022,0.149290067,0.640340263,0.633133386,0.625679215,0.811434686,0.499401806,0.624636322,0.577133273,0.535888698,0.469575455,0.305680328,0.18033193,0.806666199,0.255776866,0.449573741
"17",17,"KJWNI","FRTUJ","S","P","S",0.082014858,12757.87037,0,0.437884113,0.175151761,0.398630627,0.139292265,0.851138942,0.15259797,0.864420376,0.340942921,0.69188793,0.805340181,0.874324235,0.530226762,0.151377692,0.702587941,0.357289131,0.348132768,0.054921204,0.656260319,0.878423565,0.94075488,0.896843194
"18",18,"POGDW","XAHKJ","S","P","P",0.886301544,8989.007565,0,0.503356363,0.041196962,0.233169555,0.480055076,0.039604584,0.610632721,0.71766606,0.808355272,0.901747979,0.375461923,0.316139156,0.200761587,0.938092356,0.358511077,0.691105508,0.710796247,0.819537934,0.724728198,0.568487101,0.944472781,0.408992444
"19",19,"NMSDR","PPKTT","S","P","S",0.864016285,2011.094271,0,0.996079052,0.232102659,0.337581201,0.535042077,0.588588507,0.620857294,0.551195756,0.554772971,0.945022359,0.048928996,0.598400723,0.906180547,0.232220483,0.199595646,0.43158733,0.02219489,0.479127489,0.929575009,0.372204091,0.833890345,0.541749884
"20",20,"BSARE","UUPER","P","P","S",0.736179928,41592.25547,0,0.934369591,0.252746102,0.20259943,0.850297382,0.581721646,0.275271838,0.288061498,0.336488252,0.990926823,0.463962853,0.528796115,0.182287935,0.643976538,0.893559251,0.883117551,0.13608337,0.711637406,0.491040719,0.9558124,0.83030193,0.544292799
"21",21,"HTEOP","SNHXV","S","P","P",0.912324841,37591.73917,0,0.680758737,0.834595819,0.178803075,0.913480519,0.047969979,0.203412472,0.430805582,0.744531735,0.40694922,0.138179342,0.947692932,0.731128731,0.746858333,0.71242736,0.661224746,0.347209974,0.190460004,0.156474396,0.828045833,0.591155234,0.347686752
"22",22,"OVHPE","ODFSG","S","P","U",0.766670209,2479.874575,1,0.239159312,0.437897116,0.827822232,0.654398844,0.397353474,0.408119004,0.243775476,0.225680162,0.074602055,0.555638066,0.209566355,0.390304559,0.179589085,0.475683648,0.203766711,0.560391862,0.859501646,0.751588943,0.396432139,0.48194759,0.770443558
"23",23,"YUGBP","FOOEL","P","S","S",0.902098606,47971.0026,0,0.523289314,0.283674766,0.903966791,0.147813285,0.808219754,0.963899644,0.494074388,0.336582269,0.767851126,0.786233187,0.180206133,0.034914856,0.748800611,0.410317251,0.564901222,0.684341362,0.427541691,0.013736677,0.600919154,0.327860062,0.487468269
"24",24,"KQHYX","PFBHU","S","S","P",0.127604351,31688.07901,0,0.384853958,0.427281588,0.978982359,0.482445754,0.985537114,0.997521072,0.457543137,0.879906721,0.330053958,0.971291213,0.483477093,0.819834213,0.977411465,0.814478495,0.772261125,0.361666892,0.968756902,0.658915235,0.524695728,0.99319903,0.524586689
"25",25,"PKRVW","BSFME","U","U","P",0.363037386,10717.76457,3,0.898011882,0.428600716,0.517458701,0.587390312,0.286627356,0.960891993,0.73718911,0.167776953,0.554428139,0.557711613,0.689971516,0.969331276,0.711462364,0.997048156,0.365868186,0.930493726,0.701437961,0.397838062,0.043116789,0.136986314,0.844064955
"26",26,"TLQRT","VGAHD","P","P","P",0.252463372,10985.48316,0,0.065860492,0.221899125,0.974098528,0.320501848,0.82210679,0.50740968,0.163881834,0.008259294,0.069773884,0.910273267,0.959234911,0.642807357,0.620843339,0.474558428,0.500798101,0.92801813,0.010118517,0.710698878,0.494514799,0.279726405,0.331664602
"27",27,"IHQYW","QVVDE","P","P","S",0.039687016,49176.04655,2,0.690016374,0.61949171,0.389613414,0.107671415,0.18000634,0.206042859,0.184815614,0.743144591,0.825857013,0.848023061,0.08690773,0.096589927,0.651465379,0.532099582,0.960266541,0.320687616,0.750408517,0.342009279,0.373086054,0.23090385,0.728624267
"28",28,"NJNPN","TLEKK","P","P","P",0.305682176,31407.09475,0,0.521290813,0.917376116,0.654562216,0.335854032,0.167691638,0.532849842,0.754561316,0.208831207,0.166748777,0.746846499,0.604786443,0.670432961,0.205487268,0.100187388,0.429733673,0.630853162,0.638245165,0.856900007,0.571403846,0.063908279,0.521824599
"29",29,"QKBYX","AWFVF","U","P","S",0.243378094,22614.90052,0,0.859587915,0.540154241,0.53434736,0.812534378,0.157005915,0.967286359,0.135048707,0.861361677,0.487889117,0.857834757,0.845644062,0.528234088,0.839413927,0.208033095,0.292245429,0.253252746,0.82599199,0.901701803,0.85585403,0.77869711,0.442170823
"30",30,"XHUMD","RMXXS","P","U","P",0.606462979,44445.26225,0,0.624802971,0.654426121,0.061491428,0.071966804,0.776342343,0.678655441,0.20410226,0.339228797,0.106786266,0.840777925,0.953539006,0.814081466,0.067425436,0.74293951,0.347490495,0.693541865,0.914641862,0.578563798,0.132724901,0.558822366,0.717486221
"31",31,"DUDAD","TXASE","S","P","P",0.79334462,44776.68039,1,0.149522001,0.820152289,0.445376972,0.216444637,0.588028102,0.324400773,0.753459327,0.339962943,0.80473701,0.612990191,0.071503993,0.92978777,0.923807748,0.469067441,0.315414114,0.715268702,0.209527276,0.460178969,0.501956549,0.703160268,0.667237525
"32",32,"SQQEA","QJCGY","P","P","P",0.159032566,19563.41824,0,0.086915344,0.900645446,0.83755983,0.410864171,0.208355891,0.61909685,0.976662936,0.615840777,0.795590177,0.802075315,0.192576407,0.726812532,0.858199401,0.670624448,0.191181251,0.013659085,0.904013455,0.352781485,0.02369243,0.338935126,0.634558018
"33",33,"USBUD","AKMVW","S","P","S",0.603742984,14722.65083,0,0.372664713,0.99736603,0.921322114,0.377983031,0.456659684,0.99952484,0.242711296,0.756496541,0.191726916,0.814222724,0.180879631,0.160079844,0.194930784,0.436529359,0.023903974,0.462256065,0.397993669,0.508311309,0.517646675,0.118210696,0.703683914
"34",34,"UJMNG","SJYGW","S","P","S",0.205049057,8644.445141,1,0.484485211,0.256459515,0.864523969,0.403906206,0.410094656,0.701604066,0.446925837,0.171673373,0.746967245,0.896811312,0.484135227,0.505987601,0.34829497,0.356359931,0.677598383,0.083380112,0.770811953,0.728984112,0.289647029,0.220097177,0.755370538
"35",35,"LPFCW","DVGGD","P","P","S",0.711129849,12092.66317,2,0.508001249,0.38230202,0.921029324,0.317405481,0.528940319,0.728527569,0.887666105,0.137097984,0.62047319,0.476208412,0.145433172,0.911150664,0.314059855,0.006003736,0.112339543,0.713636809,0.276377277,0.900558465,0.278464795,0.218231724,0.763890271
"36",36,"MOXKQ","PPPJD","S","P","P",0.302799919,40075.03203,3,0.679967233,0.390445519,0.455012038,0.483938545,0.874242704,0.467431218,0.31777875,0.074497924,0.400656497,0.290891648,0.436281095,0.482651161,0.415561608,0.29903487,0.959159152,0.450790542,0.299538947,0.329703718,0.616575105,0.147975992,0.906733392
"37",37,"SUISY","IXISI","S","S","P",0.853836356,44162.19388,1,0.942328549,0.952725645,0.068703925,0.383586448,0.257942782,0.088822959,0.10146524,0.405010312,0.045777116,0.785144085,0.023461432,0.743629628,0.802008994,0.027351539,0.115288695,0.463409367,0.082321653,0.924151401,0.208860542,0.956879235,0.811200568
"38",38,"PNHXT","UFXSF","S","P","U",0.622795935,23165.06571,0,0.057206091,0.71982993,0.481664902,0.698381365,0.235331365,0.740402688,0.657452087,0.664292174,0.594357569,0.612995886,0.148642779,0.50559091,0.451171701,0.934487318,0.730257085,0.37435096,0.445804848,0.915754074,0.965262683,0.928569604,0.593755225
"39",39,"RFGSK","FVWHF","P","P","S",0.193509068,2768.34422,0,0.352956831,0.181385474,0.717087686,0.026596612,0.331348864,0.497743615,0.337555302,0.962327284,0.739683218,0.639366973,0.117766032,0.591885458,0.040390991,0.330896762,0.291655543,0.802986756,0.480981062,0.98279232,0.614925332,0.76171576,0.723247351
"40",40,"JJGXA","CCLDI","U","S","P",0.782988926,23417.9928,2,0.445013466,0.691545285,0.95810878,0.605708123,0.354660656,0.488661003,0.812900588,0.576988505,0.078480665,0.280629964,0.341654787,0.826694621,0.049693615,0.783983548,0.733959401,0.306305529,0.819225491,0.738015627,0.485197697,0.735069283,0.477897591
